model,precision,recall,f1
Logistic Regression,0.6707317073170732,0.8208955223880597,0.738255033557047
Logistic Regression,0.6976744186046512,0.8333333333333334,0.759493670886076
Logistic Regression,0.7808219178082192,0.7916666666666666,0.7862068965517242
Logistic Regression,0.7142857142857143,0.8571428571428571,0.7792207792207793
Logistic Regression,0.6753246753246753,0.7878787878787878,0.7272727272727273
Logistic Regression,0.7297297297297297,0.8059701492537313,0.7659574468085106
Logistic Regression,0.8181818181818182,0.8076923076923077,0.8129032258064518
Logistic Regression,0.7662337662337663,0.7972972972972973,0.7814569536423841
Logistic Regression,0.7317073170731707,0.8333333333333334,0.7792207792207793
Logistic Regression,0.7738095238095238,0.8552631578947368,0.8125
Logistic Regression,0.7704918032786885,0.6911764705882353,0.7286821705426356
Logistic Regression,0.6746987951807228,0.8615384615384616,0.7567567567567568
Logistic Regression,0.6904761904761905,0.8787878787878788,0.7733333333333333
Logistic Regression,0.8115942028985508,0.7567567567567568,0.7832167832167832
Logistic Regression,0.6447368421052632,0.8166666666666667,0.7205882352941178
Logistic Regression,0.7105263157894737,0.782608695652174,0.7448275862068965
Logistic Regression,0.6790123456790124,0.7857142857142857,0.728476821192053
Logistic Regression,0.7631578947368421,0.8285714285714286,0.7945205479452055
Logistic Regression,0.75,0.8513513513513513,0.7974683544303798
Logistic Regression,0.7469879518072289,0.7848101265822784,0.7654320987654321
Logistic Regression,0.6794871794871795,0.828125,0.7464788732394365
Logistic Regression,0.6538461538461539,0.7611940298507462,0.7034482758620689
Logistic Regression,0.782051282051282,0.8026315789473685,0.7922077922077922
Logistic Regression,0.6538461538461539,0.85,0.7391304347826088
Logistic Regression,0.6447368421052632,0.7205882352941176,0.6805555555555556
Logistic Regression,0.7878787878787878,0.7536231884057971,0.7703703703703704
Logistic Regression,0.7763157894736842,0.8309859154929577,0.802721088435374
Logistic Regression,0.6944444444444444,0.819672131147541,0.7518796992481204
Logistic Regression,0.7105263157894737,0.8059701492537313,0.7552447552447553
Logistic Regression,0.7323943661971831,0.7761194029850746,0.7536231884057972
Logistic Regression,0.7702702702702703,0.7916666666666666,0.7808219178082192
Logistic Regression,0.7538461538461538,0.6901408450704225,0.7205882352941175
Logistic Regression,0.6753246753246753,0.8666666666666667,0.7591240875912408
Logistic Regression,0.7555555555555555,0.8395061728395061,0.7953216374269005
Logistic Regression,0.6436781609195402,0.8484848484848485,0.7320261437908496
Logistic Regression,0.7469879518072289,0.8732394366197183,0.8051948051948051
Logistic Regression,0.6575342465753424,0.8421052631578947,0.7384615384615385
Logistic Regression,0.6875,0.7638888888888888,0.7236842105263157
Logistic Regression,0.6794871794871795,0.828125,0.7464788732394365
Logistic Regression,0.7439024390243902,0.8133333333333334,0.7770700636942677
Logistic Regression,0.6708860759493671,0.8153846153846154,0.7361111111111112
Logistic Regression,0.7407407407407407,0.8,0.7692307692307692
Logistic Regression,0.7631578947368421,0.8405797101449275,0.8
Logistic Regression,0.7763157894736842,0.855072463768116,0.8137931034482757
Logistic Regression,0.654320987654321,0.828125,0.7310344827586207
Logistic Regression,0.7142857142857143,0.7236842105263158,0.7189542483660132
Logistic Regression,0.704225352112676,0.78125,0.7407407407407407
Logistic Regression,0.7761194029850746,0.7536231884057971,0.7647058823529411
Logistic Regression,0.726027397260274,0.7361111111111112,0.7310344827586207
Logistic Regression,0.6746987951807228,0.8888888888888888,0.7671232876712328
Decision Tree,0.8309859154929577,0.8805970149253731,0.8550724637681161
Decision Tree,0.7777777777777778,0.875,0.823529411764706
Decision Tree,0.8356164383561644,0.8472222222222222,0.8413793103448277
Decision Tree,0.7682926829268293,0.9,0.8289473684210527
Decision Tree,0.8309859154929577,0.8939393939393939,0.8613138686131386
Decision Tree,0.9384615384615385,0.9104477611940298,0.9242424242424243
Decision Tree,0.8641975308641975,0.8974358974358975,0.880503144654088
Decision Tree,0.9027777777777778,0.8783783783783784,0.8904109589041096
Decision Tree,0.9130434782608695,0.875,0.8936170212765957
Decision Tree,0.8831168831168831,0.8947368421052632,0.8888888888888888
Decision Tree,0.8656716417910447,0.8529411764705882,0.8592592592592593
Decision Tree,0.9193548387096774,0.8769230769230769,0.8976377952755904
Decision Tree,0.7349397590361446,0.9242424242424242,0.8187919463087249
Decision Tree,0.9117647058823529,0.8378378378378378,0.8732394366197184
Decision Tree,0.7671232876712328,0.9333333333333333,0.8421052631578947
Decision Tree,0.9375,0.8695652173913043,0.9022556390977444
Decision Tree,0.8125,0.9285714285714286,0.8666666666666666
Decision Tree,0.9682539682539683,0.8714285714285714,0.9172932330827068
Decision Tree,0.9565217391304348,0.8918918918918919,0.9230769230769231
Decision Tree,0.9682539682539683,0.7721518987341772,0.8591549295774649
Decision Tree,0.8636363636363636,0.890625,0.8769230769230768
Decision Tree,0.7792207792207793,0.8955223880597015,0.8333333333333334
Decision Tree,0.927536231884058,0.8421052631578947,0.882758620689655
Decision Tree,0.7727272727272727,0.85,0.8095238095238095
Decision Tree,0.7794117647058824,0.7794117647058824,0.7794117647058824
Decision Tree,0.7941176470588235,0.782608695652174,0.7883211678832117
Decision Tree,0.8666666666666667,0.9154929577464789,0.8904109589041095
Decision Tree,0.7796610169491526,0.7540983606557377,0.7666666666666666
Decision Tree,0.8142857142857143,0.8507462686567164,0.832116788321168
Decision Tree,0.875,0.835820895522388,0.8549618320610687
Decision Tree,0.9142857142857143,0.8888888888888888,0.9014084507042254
Decision Tree,0.8088235294117647,0.7746478873239436,0.7913669064748201
Decision Tree,0.7631578947368421,0.9666666666666667,0.8529411764705883
Decision Tree,0.881578947368421,0.8271604938271605,0.8535031847133758
Decision Tree,0.890625,0.8636363636363636,0.8769230769230768
Decision Tree,0.9838709677419355,0.8591549295774648,0.9172932330827067
Decision Tree,0.8135593220338984,0.8421052631578947,0.8275862068965518
Decision Tree,0.8378378378378378,0.8611111111111112,0.8493150684931507
Decision Tree,0.8055555555555556,0.90625,0.8529411764705882
Decision Tree,0.9264705882352942,0.84,0.881118881118881
Decision Tree,0.75,0.8769230769230769,0.8085106382978723
Decision Tree,0.8571428571428571,0.88,0.8684210526315789
Decision Tree,0.9016393442622951,0.7971014492753623,0.8461538461538461
Decision Tree,0.8356164383561644,0.8840579710144928,0.8591549295774648
Decision Tree,0.7702702702702703,0.890625,0.8260869565217391
Decision Tree,0.7472527472527473,0.8947368421052632,0.8143712574850299
Decision Tree,0.8507462686567164,0.890625,0.8702290076335878
Decision Tree,0.9230769230769231,0.8695652173913043,0.8955223880597014
Decision Tree,0.7532467532467533,0.8055555555555556,0.778523489932886
Decision Tree,0.9047619047619048,0.9047619047619048,0.9047619047619048
Random Forest,0.9666666666666667,0.8656716417910447,0.9133858267716535
Random Forest,0.967741935483871,0.8333333333333334,0.8955223880597015
Random Forest,0.9836065573770492,0.8333333333333334,0.9022556390977444
Random Forest,0.9375,0.8571428571428571,0.8955223880597014
Random Forest,0.9365079365079365,0.8939393939393939,0.9147286821705426
Random Forest,0.9846153846153847,0.9552238805970149,0.9696969696969696
Random Forest,0.9078947368421053,0.8846153846153846,0.8961038961038961
Random Forest,0.9402985074626866,0.8513513513513513,0.8936170212765957
Random Forest,0.927536231884058,0.8888888888888888,0.9078014184397163
Random Forest,0.9444444444444444,0.8947368421052632,0.918918918918919
Random Forest,0.9827586206896551,0.8382352941176471,0.9047619047619048
Random Forest,0.9206349206349206,0.8923076923076924,0.90625
Random Forest,0.8970588235294118,0.9242424242424242,0.9104477611940298
Random Forest,0.9264705882352942,0.8513513513513513,0.8873239436619719
Random Forest,0.890625,0.95,0.9193548387096774
Random Forest,0.967741935483871,0.8695652173913043,0.9160305343511451
Random Forest,0.8266666666666667,0.8857142857142857,0.8551724137931035
Random Forest,0.9523809523809523,0.8571428571428571,0.9022556390977443
Random Forest,0.9305555555555556,0.9054054054054054,0.9178082191780821
Random Forest,0.971830985915493,0.8734177215189873,0.92
Random Forest,0.8636363636363636,0.890625,0.8769230769230768
Random Forest,0.8450704225352113,0.8955223880597015,0.8695652173913043
Random Forest,0.9696969696969697,0.8421052631578947,0.9014084507042254
Random Forest,0.8333333333333334,0.8333333333333334,0.8333333333333334
Random Forest,0.8983050847457628,0.7794117647058824,0.8346456692913385
Random Forest,0.9206349206349206,0.8405797101449275,0.8787878787878787
Random Forest,0.9558823529411765,0.9154929577464789,0.9352517985611511
Random Forest,0.8620689655172413,0.819672131147541,0.8403361344537814
Random Forest,0.9516129032258065,0.8805970149253731,0.9147286821705426
Random Forest,0.9333333333333333,0.835820895522388,0.8818897637795275
Random Forest,0.9402985074626866,0.875,0.9064748201438849
Random Forest,0.8571428571428571,0.7605633802816901,0.8059701492537313
Random Forest,0.8382352941176471,0.95,0.890625
Random Forest,0.9459459459459459,0.8641975308641975,0.903225806451613
Random Forest,0.9016393442622951,0.8333333333333334,0.8661417322834646
Random Forest,0.8970588235294118,0.8591549295774648,0.8776978417266187
Random Forest,0.9230769230769231,0.8421052631578947,0.8807339449541285
Random Forest,0.8873239436619719,0.875,0.881118881118881
Random Forest,0.8769230769230769,0.890625,0.883720930232558
Random Forest,0.9242424242424242,0.8133333333333334,0.8652482269503545
Random Forest,0.8870967741935484,0.8461538461538461,0.8661417322834646
Random Forest,0.9295774647887324,0.88,0.9041095890410958
Random Forest,0.9354838709677419,0.8405797101449275,0.8854961832061068
Random Forest,0.8695652173913043,0.8695652173913043,0.8695652173913043
Random Forest,0.9152542372881356,0.84375,0.8780487804878049
Random Forest,0.9305555555555556,0.881578947368421,0.9054054054054054
Random Forest,0.9076923076923077,0.921875,0.9147286821705427
Random Forest,0.967741935483871,0.8695652173913043,0.9160305343511451
Random Forest,0.8382352941176471,0.7916666666666666,0.8142857142857143
Random Forest,0.9090909090909091,0.9523809523809523,0.9302325581395349
